Date,fear_and_greed_historical,rating
2021-01-04,50.0,neutral
2021-01-05,50.0,neutral
2021-01-06,50.0,neutral
2021-01-07,50.0,neutral
2021-01-08,50.0,neutral
2021-01-11,50.0,neutral
2021-01-12,50.0,neutral
2021-01-13,50.0,neutral
2021-01-14,50.0,neutral
2021-01-15,50.0,neutral
2021-01-19,50.0,neutral
2021-01-20,50.0,neutral
2021-01-21,50.0,neutral
2021-01-22,68.9,greed
2021-01-25,69.7,greed
2021-01-26,67.4,greed
2021-01-27,28.200000000000003,fear
2021-01-28,52.900000000000006,neutral
2021-01-29,40.966666666666676,fear
2021-02-01,43.400000000000006,fear
2021-02-02,60.46666666666667,greed
2021-02-03,59.199999999999996,greed
2021-02-04,61.06666666666667,greed
2021-02-05,68.0,greed
2021-02-08,72.86666666666667,greed
2021-02-09,75.4,extreme greed
2021-02-10,75.26666666666667,extreme greed
2021-02-11,76.0,extreme greed
2021-02-12,77.66666666666667,extreme greed
2021-02-16,73.93333333333334,greed
2021-02-17,70.2,greed
2021-02-18,62.53333333333334,greed
2021-02-19,56.239999999999995,greed
2021-02-22,52.48,neutral
2021-02-23,50.56,neutral
2021-02-24,63.8,greed
2021-02-25,46.160000000000004,neutral
2021-02-26,53.52,neutral
2021-03-01,58.52,greed
2021-03-02,50.32000000000001,neutral
2021-03-03,43.84,fear
2021-03-04,37.8,fear
2021-03-05,41.52,fear
2021-03-08,39.08,fear
2021-03-09,43.36,fear
2021-03-10,45.56,neutral
2021-03-11,50.480000000000004,neutral
2021-03-12,53.720000000000006,neutral
2021-03-15,56.52,greed
2021-03-16,54.8,neutral
2021-03-17,57.86666666666667,greed
2021-03-18,52.333333333333336,neutral
2021-03-19,50.833333333333336,neutral
2021-03-22,50.699999999999996,neutral
2021-03-23,41.800000000000004,fear
2021-03-24,37.66666666666667,fear
2021-03-25,37.833333333333336,fear
2021-03-26,37.56666666666667,fear
2021-03-29,39.56666666666667,fear
2021-03-30,42.03333333333334,fear
2021-03-31,44.56666666666667,fear
2021-04-01,46.400000000000006,neutral
2021-04-05,54.56666666666667,neutral
2021-04-06,53.5,neutral
2021-04-07,52.53333333333333,neutral
2021-04-08,48.099999999999994,neutral
2021-04-09,47.5,neutral
2021-04-12,43.43333333333334,fear
2021-04-13,43.63333333333333,fear
2021-04-14,39.96666666666667,fear
2021-04-15,47.16666666666668,neutral
2021-04-16,51.300000000000004,neutral
2021-04-19,45.26666666666667,neutral
2021-04-20,42.866666666666674,fear
2021-04-21,49.63333333333333,neutral
2021-04-22,46.70000000000001,neutral
2021-04-23,47.699999999999996,neutral
2021-04-26,50.53333333333334,neutral
2021-04-27,54.800000000000004,neutral
2021-04-28,52.400000000000006,neutral
2021-04-29,56.166666666666664,greed
2021-04-30,46.53333333333333,neutral
2021-05-03,47.56666666666667,neutral
2021-05-04,43.46666666666667,fear
2021-05-05,43.03333333333333,fear
2021-05-06,43.93333333333334,fear
2021-05-07,48.166666666666664,neutral
2021-05-10,44.93333333333334,fear
2021-05-11,42.03333333333334,fear
2021-05-12,26.766666666666666,fear
2021-05-13,34.433333333333344,fear
2021-05-14,35.99999999999999,fear
2021-05-17,36.36666666666667,fear
2021-05-18,34.03333333333334,fear
2021-05-19,32.333333333333336,fear
2021-05-20,32.300000000000004,fear
2021-05-21,29.433333333333334,fear
2021-05-24,29.5,fear
2021-05-25,26.66666666666667,fear
2021-05-26,28.133333333333336,fear
2021-05-27,30.3,fear
2021-05-28,31.566666666666666,fear
2021-06-01,35.4,fear
2021-06-02,42.13333333333333,fear
2021-06-03,40.800000000000004,fear
2021-06-04,41.9,fear
2021-06-07,44.46666666666667,fear
2021-06-08,46.46666666666667,neutral
2021-06-09,48.53333333333333,neutral
2021-06-10,48.9,neutral
2021-06-11,51.23333333333334,neutral
2021-06-14,54.166666666666664,neutral
2021-06-15,52.666666666666664,neutral
2021-06-16,44.800000000000004,fear
2021-06-17,42.03333333333334,fear
2021-06-18,31.600000000000005,fear
